genotype,mean_lat,lat95,lat99,std_dev_lat,macs,params
"Genotype(normal=[('avg_pool_3x3', 0), ('avg_pool_3x3', 0), ('max_pool_3x3', 1), ('sep_conv_3x3', 2), ('dil_conv_5x5', 3), ('avg_pool_3x3', 2), ('skip_connect', 3), ('dil_conv_3x3', 2)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 0), ('avg_pool_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_5x5', 1), ('dil_conv_3x3', 3), ('sep_conv_5x5', 3), ('dil_conv_5x5', 3), ('skip_connect', 0)], reduce_concat=range(2, 6))",207.28603839874268,217.18931198120117,221.71711921691895,4.828928151486076,468516672.0,3034414.0
"Genotype(normal=[('avg_pool_3x3', 0), ('avg_pool_3x3', 0), ('skip_connect', 0), ('sep_conv_3x3', 0), ('max_pool_3x3', 3), ('sep_conv_3x3', 1), ('max_pool_3x3', 2), ('sep_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('sep_conv_5x5', 1), ('sep_conv_5x5', 0), ('dil_conv_5x5', 2), ('max_pool_3x3', 0), ('sep_conv_3x3', 3), ('avg_pool_3x3', 2), ('max_pool_3x3', 1)], reduce_concat=range(2, 6))",133.32526206970215,137.7701759338379,141.81089401245117,3.523895181618694,545709888.0,3510478.0
"Genotype(normal=[('avg_pool_3x3', 0), ('avg_pool_3x3', 1), ('avg_pool_3x3', 2), ('avg_pool_3x3', 2), ('avg_pool_3x3', 3), ('avg_pool_3x3', 3), ('max_pool_3x3', 0), ('avg_pool_3x3', 2)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 0), ('dil_conv_5x5', 0), ('avg_pool_3x3', 1), ('avg_pool_3x3', 0), ('dil_conv_3x3', 1), ('avg_pool_3x3', 0), ('sep_conv_5x5', 4), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6))",111.38955116271973,115.01002311706543,117.19799041748047,2.2520684622554215,309098304.0,1977742.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_3x3', 0), ('dil_conv_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_3x3', 1), ('avg_pool_3x3', 3), ('avg_pool_3x3', 4), ('sep_conv_3x3', 2)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_5x5', 2), ('dil_conv_3x3', 2), ('dil_conv_5x5', 2), ('sep_conv_5x5', 1), ('dil_conv_3x3', 2), ('skip_connect', 2)], reduce_concat=range(2, 6))",263.61119747161865,272.23992347717285,277.2369384765625,7.791700051131239,574242624.0,3713302.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_3x3', 0), ('sep_conv_3x3', 2), ('dil_conv_5x5', 0), ('sep_conv_3x3', 3), ('dil_conv_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_3x3', 1)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('dil_conv_5x5', 0), ('dil_conv_3x3', 0), ('avg_pool_3x3', 1), ('skip_connect', 1), ('dil_conv_5x5', 2), ('sep_conv_5x5', 4), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6))",328.69542837142944,339.70093727111816,348.12378883361816,5.861017327543927,682152768.0,4380742.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_3x3', 1), ('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('max_pool_3x3', 3), ('sep_conv_5x5', 0), ('max_pool_3x3', 4), ('dil_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('skip_connect', 1), ('skip_connect', 0), ('sep_conv_3x3', 0), ('sep_conv_3x3', 0), ('sep_conv_3x3', 1), ('dil_conv_5x5', 4), ('max_pool_3x3', 4)], reduce_concat=range(2, 6))",201.29743576049805,207.68117904663086,209.87796783447266,2.678366723692962,477336384.0,3081502.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_5x5', 1), ('avg_pool_3x3', 0), ('skip_connect', 0), ('dil_conv_5x5', 0), ('dil_conv_5x5', 1), ('skip_connect', 1), ('dil_conv_3x3', 1)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 1), ('dil_conv_3x3', 1), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('avg_pool_3x3', 1), ('avg_pool_3x3', 3), ('dil_conv_3x3', 2), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",287.3919081687927,293.0166721343994,300.6737232208252,3.3514199618709513,467659584.0,2943262.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('dil_conv_3x3', 1), ('skip_connect', 3), ('sep_conv_5x5', 1), ('skip_connect', 0), ('max_pool_3x3', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('sep_conv_3x3', 1), ('sep_conv_5x5', 0), ('dil_conv_5x5', 0), ('dil_conv_3x3', 3), ('avg_pool_3x3', 1), ('dil_conv_5x5', 1), ('skip_connect', 3)], reduce_concat=range(2, 6))",254.61153030395508,261.1546516418457,268.71585845947266,3.6928339517006084,524697408.0,3335302.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_5x5', 1), ('avg_pool_3x3', 2), ('dil_conv_3x3', 2), ('dil_conv_3x3', 2), ('sep_conv_5x5', 4), ('sep_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 0), ('avg_pool_3x3', 1), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('skip_connect', 3), ('sep_conv_3x3', 4)], reduce_concat=range(2, 6))",274.74213123321533,282.6859951019287,293.0431365966797,4.373241628250459,669019968.0,4228246.0
"Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('dil_conv_5x5', 2), ('dil_conv_3x3', 2), ('sep_conv_3x3', 0), ('skip_connect', 3), ('dil_conv_5x5', 1), ('max_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('skip_connect', 0), ('sep_conv_3x3', 1), ('sep_conv_5x5', 1), ('dil_conv_5x5', 1), ('dil_conv_3x3', 1)], reduce_concat=range(2, 6))",281.8856620788574,351.2611389160156,400.89917182922363,26.43090997388411,510569280.0,3292534.0
"Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_5x5', 2), ('skip_connect', 0), ('avg_pool_3x3', 1), ('skip_connect', 1), ('sep_conv_3x3', 0)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 1), ('avg_pool_3x3', 1), ('sep_conv_3x3', 2), ('dil_conv_5x5', 1), ('sep_conv_3x3', 2), ('sep_conv_3x3', 0), ('max_pool_3x3', 0), ('dil_conv_5x5', 2)], reduce_concat=range(2, 6))",172.72921800613403,186.48719787597656,190.75417518615723,8.385502324818672,512504640.0,3262078.0
"Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('max_pool_3x3', 2), ('dil_conv_3x3', 0), ('dil_conv_5x5', 0), ('max_pool_3x3', 3), ('max_pool_3x3', 4), ('skip_connect', 2)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 1), ('sep_conv_3x3', 1), ('dil_conv_3x3', 0), ('dil_conv_3x3', 0), ('sep_conv_3x3', 0), ('skip_connect', 3), ('sep_conv_3x3', 2), ('dil_conv_3x3', 4)], reduce_concat=range(2, 6))",216.3620638847351,310.41717529296875,329.0128707885742,37.57856192605122,396051264.0,2576062.0
"Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('max_pool_3x3', 2), ('dil_conv_5x5', 1), ('sep_conv_3x3', 2), ('skip_connect', 1), ('dil_conv_3x3', 3), ('avg_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 1), ('skip_connect', 1), ('dil_conv_5x5', 0), ('sep_conv_5x5', 1), ('dil_conv_5x5', 1), ('dil_conv_5x5', 2), ('max_pool_3x3', 1), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",216.00109338760376,222.63622283935547,238.71397972106934,4.635080176962111,464590656.0,3002662.0
"Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 1), ('dil_conv_3x3', 0), ('skip_connect', 1), ('skip_connect', 0), ('avg_pool_3x3', 0), ('dil_conv_3x3', 4), ('sep_conv_5x5', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 0), ('sep_conv_5x5', 1), ('skip_connect', 1), ('avg_pool_3x3', 2), ('dil_conv_5x5', 1), ('dil_conv_5x5', 1), ('sep_conv_5x5', 2), ('avg_pool_3x3', 0)], reduce_concat=range(2, 6))",189.06108617782593,196.17199897766113,200.43325424194336,3.166254557566878,470534976.0,3012382.0
"Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 1), ('dil_conv_3x3', 2), ('dil_conv_3x3', 0), ('dil_conv_5x5', 1), ('sep_conv_3x3', 0), ('dil_conv_3x3', 4), ('sep_conv_3x3', 1)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('dil_conv_5x5', 0), ('sep_conv_3x3', 0), ('sep_conv_5x5', 0), ('avg_pool_3x3', 2), ('skip_connect', 1), ('avg_pool_3x3', 4), ('skip_connect', 0)], reduce_concat=range(2, 6))",387.1159362792969,838.2651805877686,1105.605125427246,167.10083064580581,607890240.0,3936430.0
"Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('max_pool_3x3', 1), ('sep_conv_3x3', 3), ('max_pool_3x3', 2), ('dil_conv_3x3', 0)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 1), ('sep_conv_5x5', 0), ('skip_connect', 1), ('dil_conv_5x5', 2), ('skip_connect', 0), ('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2)], reduce_concat=range(2, 6))",252.1966791152954,290.3437614440918,450.39892196655273,33.18598235205662,460471104.0,2968966.0
