genotype,mean_lat,lat95,lat99,std_dev_lat,macs,params
"Genotype(normal=[('avg_pool_3x3', 0), ('avg_pool_3x3', 0), ('sep_conv_3x3', 0), ('avg_pool_3x3', 0), ('skip_connect', 0), ('sep_conv_3x3', 3), ('sep_conv_5x5', 1), ('sep_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 1), ('skip_connect', 0), ('dil_conv_3x3', 0), ('dil_conv_3x3', 2), ('sep_conv_5x5', 3), ('dil_conv_3x3', 1), ('avg_pool_3x3', 2), ('max_pool_3x3', 4)], reduce_concat=range(2, 6))",39.388976097106934,41.353464126586914,42.84310340881348,1.2099729786138922,30516295680.0,3936430.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_3x3', 0), ('avg_pool_3x3', 0), ('avg_pool_3x3', 1), ('sep_conv_3x3', 2), ('avg_pool_3x3', 2), ('avg_pool_3x3', 4), ('avg_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 1), ('skip_connect', 1), ('skip_connect', 1), ('dil_conv_3x3', 0), ('sep_conv_3x3', 2), ('avg_pool_3x3', 0), ('avg_pool_3x3', 3), ('skip_connect', 4)], reduce_concat=range(2, 6))",27.87599802017212,28.46550941467285,29.144287109375,0.47445544613910273,20300054528.0,2661814.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_3x3', 0), ('dil_conv_3x3', 2), ('max_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_5x5', 0), ('sep_conv_5x5', 2), ('dil_conv_5x5', 1)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('avg_pool_3x3', 1), ('avg_pool_3x3', 0), ('avg_pool_3x3', 1), ('skip_connect', 1), ('skip_connect', 1), ('avg_pool_3x3', 2), ('dil_conv_3x3', 1)], reduce_concat=range(2, 6))",37.8738808631897,39.53838348388672,40.20237922668457,0.9561063332094814,28940724224.0,3703366.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_3x3', 0), ('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 3), ('skip_connect', 1), ('skip_connect', 4), ('avg_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 1), ('max_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_3x3', 0), ('skip_connect', 2), ('sep_conv_5x5', 2), ('sep_conv_5x5', 1), ('max_pool_3x3', 2)], reduce_concat=range(2, 6))",27.24419116973877,28.142929077148438,29.930591583251953,0.7321851163127705,22074806272.0,2913454.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_3x3', 0), ('skip_connect', 1), ('dil_conv_3x3', 1), ('dil_conv_3x3', 0), ('skip_connect', 3), ('skip_connect', 4), ('max_pool_3x3', 3)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 1), ('sep_conv_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('avg_pool_3x3', 2), ('skip_connect', 2), ('sep_conv_5x5', 1), ('avg_pool_3x3', 1)], reduce_concat=range(2, 6))",24.20053482055664,25.029897689819336,25.420427322387695,1.2259192871117413,20435552256.0,2707822.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_3x3', 0), ('skip_connect', 1), ('skip_connect', 2), ('dil_conv_3x3', 0), ('dil_conv_5x5', 0), ('sep_conv_5x5', 2), ('avg_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('avg_pool_3x3', 1), ('avg_pool_3x3', 0), ('skip_connect', 1), ('dil_conv_3x3', 0), ('max_pool_3x3', 1), ('dil_conv_3x3', 0), ('skip_connect', 3)], reduce_concat=range(2, 6))",30.74892282485962,31.09908103942871,32.74941444396973,0.4864717428446059,24499826688.0,3143494.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_5x5', 0), ('dil_conv_5x5', 0), ('avg_pool_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_3x3', 2), ('dil_conv_5x5', 4), ('sep_conv_3x3', 0)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('skip_connect', 0), ('skip_connect', 0), ('dil_conv_3x3', 2), ('dil_conv_3x3', 3), ('max_pool_3x3', 2), ('dil_conv_3x3', 0), ('avg_pool_3x3', 0)], reduce_concat=range(2, 6))",36.84542894363403,37.192583084106445,37.32943534851074,0.23179489407889617,28860790784.0,3728854.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_5x5', 0), ('sep_conv_3x3', 1), ('skip_connect', 2), ('sep_conv_5x5', 3), ('sep_conv_5x5', 3), ('skip_connect', 1), ('skip_connect', 1)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('max_pool_3x3', 1), ('skip_connect', 1), ('sep_conv_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_3x3', 1), ('avg_pool_3x3', 0), ('sep_conv_3x3', 1)], reduce_concat=range(2, 6))",36.778438091278076,37.59884834289551,37.72616386413574,0.6247008999234684,29550368768.0,3821950.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_5x5', 0), ('skip_connect', 1), ('avg_pool_3x3', 2), ('dil_conv_3x3', 1), ('sep_conv_3x3', 1), ('skip_connect', 1), ('avg_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 0), ('dil_conv_3x3', 0), ('max_pool_3x3', 0), ('max_pool_3x3', 0), ('max_pool_3x3', 1), ('sep_conv_3x3', 1), ('avg_pool_3x3', 0), ('skip_connect', 4)], reduce_concat=range(2, 6))",27.58002281188965,27.932405471801758,27.99057960510254,0.215780209818854,21825523712.0,2817550.0
"Genotype(normal=[('avg_pool_3x3', 0), ('dil_conv_5x5', 1), ('dil_conv_5x5', 1), ('max_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_3x3', 3), ('dil_conv_3x3', 3), ('avg_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('dil_conv_3x3', 1), ('sep_conv_3x3', 1), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('sep_conv_3x3', 0), ('sep_conv_3x3', 3), ('sep_conv_3x3', 0)], reduce_concat=range(2, 6))",33.208067417144775,33.396244049072266,34.99627113342285,0.37032475031187884,25612091392.0,3404206.0
