name,acc,mean_lat,lat95,lat99,std_dev_lat,macs,params,cell_layers,none_layers,skip_conn
"Genotype(normal=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('skip_connect', 4), ('sep_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('sep_conv_3x3', 1), ('avg_pool_3x3', 1), ('dil_conv_5x5', 1), ('dil_conv_5x5', 3), ('skip_connect', 0), ('dil_conv_3x3', 1), ('avg_pool_3x3', 3)], reduce_concat=range(2, 6));Genotype(normal=[('sep_conv_5x5', 0), ('sep_conv_3x3', 1), ('max_pool_3x3', 1), ('dil_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_5x5', 0), ('avg_pool_3x3', 1), ('sep_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('skip_connect', 0), ('dil_conv_3x3', 1), ('dil_conv_3x3', 2), ('max_pool_3x3', 0), ('max_pool_3x3', 3), ('sep_conv_3x3', 1)], reduce_concat=range(2, 6));Genotype(normal=[('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('skip_connect', 1), ('sep_conv_3x3', 1), ('dil_conv_3x3', 3), ('sep_conv_3x3', 0), ('sep_conv_3x3', 4), ('dil_conv_5x5', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('max_pool_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('skip_connect', 0), ('max_pool_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6))",0,4.67867374420166,6.443977355957031,8.071184158325195,0.8464441081236994,80956368.0,501420.0,3,0,6
"Genotype(normal=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('skip_connect', 4), ('sep_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('sep_conv_3x3', 1), ('avg_pool_3x3', 1), ('dil_conv_5x5', 1), ('dil_conv_5x5', 3), ('skip_connect', 0), ('dil_conv_3x3', 1), ('avg_pool_3x3', 3)], reduce_concat=range(2, 6));Genotype(normal=[('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('skip_connect', 1), ('sep_conv_3x3', 1), ('dil_conv_3x3', 3), ('sep_conv_3x3', 0), ('sep_conv_3x3', 4), ('dil_conv_5x5', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('max_pool_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('skip_connect', 0), ('max_pool_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6));Genotype(normal=[('sep_conv_5x5', 0), ('sep_conv_3x3', 1), ('max_pool_3x3', 1), ('dil_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_5x5', 0), ('avg_pool_3x3', 1), ('sep_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('skip_connect', 0), ('dil_conv_3x3', 1), ('dil_conv_3x3', 2), ('max_pool_3x3', 0), ('max_pool_3x3', 3), ('sep_conv_3x3', 1)], reduce_concat=range(2, 6))",0,4.54660177230835,4.610538482666016,7.67827033996582,0.6444462795831165,80956368.0,501420.0,3,0,6
"Genotype(normal=[('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 1), ('max_pool_3x3', 1), ('sep_conv_5x5', 0), ('sep_conv_5x5', 0), ('max_pool_3x3', 4), ('avg_pool_3x3', 2)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_5x5', 2), ('avg_pool_3x3', 4), ('skip_connect', 4)], reduce_concat=range(2, 6));Genotype(normal=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('skip_connect', 4), ('sep_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('sep_conv_3x3', 1), ('avg_pool_3x3', 1), ('dil_conv_5x5', 1), ('dil_conv_5x5', 3), ('skip_connect', 0), ('dil_conv_3x3', 1), ('avg_pool_3x3', 3)], reduce_concat=range(2, 6));Genotype(normal=[('sep_conv_5x5', 0), ('sep_conv_3x3', 1), ('max_pool_3x3', 1), ('dil_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_5x5', 0), ('avg_pool_3x3', 1), ('sep_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('skip_connect', 0), ('dil_conv_3x3', 1), ('dil_conv_3x3', 2), ('max_pool_3x3', 0), ('max_pool_3x3', 3), ('sep_conv_3x3', 1)], reduce_concat=range(2, 6))",0,4.440641403198242,4.601478576660156,5.575895309448242,0.35026731605582806,75832272.0,496380.0,3,0,5
"Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('dil_conv_5x5', 2), ('dil_conv_3x3', 2), ('sep_conv_3x3', 0), ('skip_connect', 3), ('dil_conv_5x5', 1), ('max_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('skip_connect', 0), ('sep_conv_3x3', 1), ('sep_conv_5x5', 1), ('dil_conv_5x5', 1), ('dil_conv_3x3', 1)], reduce_concat=range(2, 6));Genotype(normal=[('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('skip_connect', 1), ('sep_conv_3x3', 1), ('dil_conv_3x3', 3), ('sep_conv_3x3', 0), ('sep_conv_3x3', 4), ('dil_conv_5x5', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('max_pool_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('skip_connect', 0), ('max_pool_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6));Genotype(normal=[('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('skip_connect', 1), ('sep_conv_3x3', 1), ('dil_conv_3x3', 3), ('sep_conv_3x3', 0), ('sep_conv_3x3', 4), ('dil_conv_5x5', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('max_pool_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('skip_connect', 0), ('max_pool_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6))",0,4.610776901245117,4.760265350341797,5.722284317016602,0.2391084890511052,73915344.0,494580.0,3,0,6
"Genotype(normal=[('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 1), ('max_pool_3x3', 1), ('sep_conv_5x5', 0), ('sep_conv_5x5', 0), ('max_pool_3x3', 4), ('avg_pool_3x3', 2)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_5x5', 2), ('avg_pool_3x3', 4), ('skip_connect', 4)], reduce_concat=range(2, 6));Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('dil_conv_5x5', 2), ('dil_conv_3x3', 2), ('sep_conv_3x3', 0), ('skip_connect', 3), ('dil_conv_5x5', 1), ('max_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('skip_connect', 0), ('sep_conv_3x3', 1), ('sep_conv_5x5', 1), ('dil_conv_5x5', 1), ('dil_conv_3x3', 1)], reduce_concat=range(2, 6));Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('dil_conv_5x5', 2), ('dil_conv_3x3', 2), ('sep_conv_3x3', 0), ('skip_connect', 3), ('dil_conv_5x5', 1), ('max_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('skip_connect', 0), ('sep_conv_3x3', 1), ('sep_conv_5x5', 1), ('dil_conv_5x5', 1), ('dil_conv_3x3', 1)], reduce_concat=range(2, 6))",0,3.639371395111084,3.6830902099609375,6.081104278564453,0.5043119196966628,62487504.0,483348.0,3,0,5
"none;none;Genotype(normal=[('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('dil_conv_5x5', 2), ('dil_conv_3x3', 2), ('sep_conv_3x3', 0), ('skip_connect', 3), ('dil_conv_5x5', 1), ('max_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('skip_connect', 0), ('sep_conv_3x3', 1), ('sep_conv_5x5', 1), ('dil_conv_5x5', 1), ('dil_conv_3x3', 1)], reduce_concat=range(2, 6))",0,0.17923355102539062,0.2129077911376953,0.21505355834960938,0.014364360694287218,3320028.0,420744.0,1,2,2
"Genotype(normal=[('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 1), ('max_pool_3x3', 1), ('sep_conv_5x5', 0), ('sep_conv_5x5', 0), ('max_pool_3x3', 4), ('avg_pool_3x3', 2)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_5x5', 2), ('avg_pool_3x3', 4), ('skip_connect', 4)], reduce_concat=range(2, 6));Genotype(normal=[('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('skip_connect', 1), ('sep_conv_3x3', 1), ('dil_conv_3x3', 3), ('sep_conv_3x3', 0), ('sep_conv_3x3', 4), ('dil_conv_5x5', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('max_pool_3x3', 1), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('skip_connect', 0), ('max_pool_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6));none",0,2.783069610595703,3.117084503173828,5.048990249633789,0.6680207133843912,48147408.0,469416.0,2,1,3
"Genotype(normal=[('skip_connect', 1), ('dil_conv_3x3', 1), ('skip_connect', 1), ('avg_pool_3x3', 2), ('dil_conv_3x3', 2), ('skip_connect', 1), ('avg_pool_3x3', 2), ('avg_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('skip_connect', 0), ('sep_conv_3x3', 0), ('sep_conv_5x5', 0), ('dil_conv_5x5', 1), ('dil_conv_3x3', 3), ('dil_conv_3x3', 0), ('avg_pool_3x3', 2), ('dil_conv_5x5', 0)], reduce_concat=range(2, 6));Genotype(normal=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('skip_connect', 4), ('sep_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('sep_conv_3x3', 1), ('avg_pool_3x3', 1), ('dil_conv_5x5', 1), ('dil_conv_5x5', 3), ('skip_connect', 0), ('dil_conv_3x3', 1), ('avg_pool_3x3', 3)], reduce_concat=range(2, 6));Genotype(normal=[('skip_connect', 1), ('dil_conv_3x3', 1), ('skip_connect', 1), ('avg_pool_3x3', 2), ('dil_conv_3x3', 2), ('skip_connect', 1), ('avg_pool_3x3', 2), ('avg_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('skip_connect', 0), ('sep_conv_3x3', 0), ('sep_conv_5x5', 0), ('dil_conv_5x5', 1), ('dil_conv_3x3', 3), ('dil_conv_3x3', 0), ('avg_pool_3x3', 2), ('dil_conv_5x5', 0)], reduce_concat=range(2, 6))",0,2.921743392944336,3.140687942504883,7.389307022094727,1.0287759346267804,53935056.0,474852.0,3,0,10
"Genotype(normal=[('dil_conv_3x3', 0), ('dil_conv_3x3', 0), ('avg_pool_3x3', 2), ('skip_connect', 2), ('sep_conv_3x3', 1), ('skip_connect', 2), ('sep_conv_3x3', 0), ('dil_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 0), ('skip_connect', 1), ('avg_pool_3x3', 2), ('dil_conv_5x5', 1), ('skip_connect', 1), ('avg_pool_3x3', 1), ('max_pool_3x3', 4), ('sep_conv_3x3', 2)], reduce_concat=range(2, 6));Genotype(normal=[('sep_conv_5x5', 0), ('sep_conv_3x3', 1), ('max_pool_3x3', 1), ('dil_conv_3x3', 0), ('skip_connect', 1), ('sep_conv_5x5', 0), ('avg_pool_3x3', 1), ('sep_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('skip_connect', 0), ('dil_conv_3x3', 1), ('dil_conv_3x3', 2), ('max_pool_3x3', 0), ('max_pool_3x3', 3), ('sep_conv_3x3', 1)], reduce_concat=range(2, 6));none",0,2.9637694358825684,3.0601024627685547,4.357099533081055,0.3744812105315997,51649488.0,472800.0,2,1,6
"Genotype(normal=[('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('avg_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('skip_connect', 4), ('sep_conv_5x5', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('sep_conv_3x3', 1), ('avg_pool_3x3', 1), ('dil_conv_5x5', 1), ('dil_conv_5x5', 3), ('skip_connect', 0), ('dil_conv_3x3', 1), ('avg_pool_3x3', 3)], reduce_concat=range(2, 6));Genotype(normal=[('sep_conv_5x5', 1), ('dil_conv_5x5', 1), ('dil_conv_5x5', 1), ('skip_connect', 2), ('dil_conv_5x5', 0), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('skip_connect', 2)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('dil_conv_3x3', 0), ('skip_connect', 0), ('avg_pool_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 2), ('skip_connect', 0)], reduce_concat=range(2, 6));none",0,2.7178239822387695,2.9916763305664062,3.0412673950195312,0.37129924606916337,51096528.0,472296.0,2,1,6
